max_depth,learning_rate,n_estimators,score,time
3, 0.025, 175, 0.742, 42.4s
3, 0.025, 175, 0.742, 43.9s
3, 0.025, 175, 0.739, 44.5s
3, 0.025, 175, 0.746, 44.9s
3, 0.025, 175, 0.740, 44.9s
3, 0.025, 175, 0.734, 46.8s
3, 0.025, 200, 0.744, 50.7s
3, 0.025, 200, 0.741, 51.0s
3, 0.025, 200, 0.736, 51.5s
3, 0.025, 200, 0.739, 51.8s
3, 0.025, 200, 0.748, 52.4s
3, 0.025, 200, 0.744, 53.2s
3, 0.03, 175, 0.739, 41.4s
3, 0.03, 175, 0.749, 42.2s
3, 0.03, 175, 0.745, 44.1s
3, 0.03, 175, 0.744, 45.5s
3, 0.03, 175, 0.751, 47.4s
3, 0.03, 175, 0.741, 46.4s
3, 0.025, 225, 0.739, 57.0s
3, 0.025, 225, 0.752, 58.6s
3, 0.025, 225, 0.747, 57.9s
3, 0.025, 225, 0.744, 58.7s
3, 0.025, 225, 0.750, 59.0s
3, 0.025, 225, 0.741,1.0min
3, 0.03, 200, 0.745, 48.2s
3, 0.03, 200, 0.756, 52.4s
3, 0.03, 200, 0.748, 48.5s
3, 0.03, 200, 0.749, 48.5s
3, 0.03, 200, 0.747, 54.6s
3, 0.03, 200, 0.750, 56.8s
3, 0.03, 225, 0.758, 54.1s
3, 0.03, 225, 0.755,1.0min
3, 0.03, 225, 0.750, 58.3s
3, 0.03, 225, 0.746,1.0min
3, 0.03, 225, 0.756,1.0min
3, 0.03, 225, 0.749,1.0min
3, 0.035, 175, 0.754, 48.1s
3, 0.035, 175, 0.756, 46.2s
3, 0.035, 175, 0.740, 48.5s
3, 0.035, 175, 0.758, 47.4s
3, 0.035, 175, 0.746, 44.2s
3, 0.035, 175, 0.749, 46.2s
3, 0.035, 200, 0.754, 51.2s
3, 0.035, 200, 0.758, 46.8s
3, 0.035, 200, 0.757, 47.1s
3, 0.035, 200, 0.739, 52.1s
3, 0.035, 200, 0.752, 50.7s
3, 0.035, 200, 0.749, 55.9s
3, 0.035, 225, 0.747, 56.5s
3, 0.035, 225, 0.752, 59.1s
3, 0.035, 225, 0.760, 57.1s
3, 0.035, 225, 0.758, 58.5s
3, 0.035, 225, 0.746, 58.4s
3, 0.035, 225, 0.755, 59.2s
4, 0.025, 175, 0.758, 54.5s
4, 0.025, 175, 0.756, 55.9s
4, 0.025, 175, 0.752, 55.9s
4, 0.025, 175, 0.760, 57.1s
4, 0.025, 175, 0.741, 54.8s
4, 0.025, 175, 0.753, 55.7s
4, 0.025, 200, 0.756,1.0min
4, 0.025, 200, 0.762,1.0min
4, 0.025, 200, 0.752,1.1min
4, 0.025, 200, 0.761,1.0min
4, 0.025, 200, 0.755,1.0min
4, 0.025, 200, 0.753,1.1min
4, 0.025, 225, 0.753,1.1min
4, 0.025, 225, 0.762,1.1min
4, 0.025, 225, 0.752,1.2min
4, 0.025, 225, 0.754,1.1min
4, 0.025, 225, 0.762,1.2min
4, 0.025, 225, 0.754,1.2min
4, 0.03, 175, 0.751, 57.9s
4, 0.03, 175, 0.761, 54.1s
4, 0.03, 175, 0.754, 59.4s
4, 0.03, 175, 0.759, 59.9s
4, 0.03, 175, 0.751,1.0min
4, 0.03, 175, 0.752, 54.5s
4, 0.03, 200, 0.754, 59.5s
4, 0.03, 200, 0.755,1.1min
4, 0.03, 200, 0.761,1.1min
4, 0.03, 200, 0.759,1.1min
4, 0.03, 200, 0.756,1.0min
4, 0.03, 200, 0.753,1.1min
4, 0.03, 225, 0.752,1.1min
4, 0.03, 225, 0.753,1.2min
4, 0.03, 225, 0.762,1.3min
4, 0.035, 175, 0.753, 54.5s
4, 0.03, 225, 0.759,1.2min
4, 0.035, 175, 0.752, 55.0s
4, 0.03, 225, 0.757,1.2min
4, 0.03, 225, 0.755,1.3min
4, 0.035, 175, 0.763, 59.0s
4, 0.035, 175, 0.758, 57.8s
